$	~[,SIF][,DOL][,SI]
ポ	~*[PO.]
マ	~*[MA.]
ミ	~*[MI.]
ム	~*[MU.]
メ	~*[ME.]
モ	~*[MO.]
ャ	~*[XYA.][YAV.][LYA.]::[YA.]
ヤ	~*[YA.]
ュ	~*[XYU.][YUV.][LYU.]::[YU.]
ユ	~*[YU.]
ョ	~*[XYO.][YOV.][LYO.]::[YO.]
ヨ	~*[YO.]
ラ	~*[LA.][RA.]
リ	~*[LI.][RI.]
ル	~*[LU.][RU.]
レ	~*[LE.][RE.]
ロ	~*[LO.][RO.]
ヮ	~*[WAV.][XWA.][LWA.]::[WA.]
ワ	~*[WA.]
ヰ	~*[WI.]::[I.]
ヱ	~*[WE.]::[E.]
ヲ	~*[WO.]::[O.]
ン	~*[MN.][M.][NG.][NN.][N.]
ヴ	~*[VU.]
ヵ	~*[GAV.][KAV.][XKA.][LKA.]::[GA.]
ヶ	~*[GEV.][KEV.][XKE.][LKE.]::[GE.]
ー	~[,E]
ヾ	~*[,SA]::[,M]
ㄅ	~[,BL][,B]
ㄆ	~[,P]
ㄇ	~[,MK][,M]
ㄈ	~[,FW][,F][,FL]
ㄉ	~*[,D]
ㄊ	~*[,T]
ㄋ	~[,N]
ㄌ	~[,LK][,L]
ㄍ	~[,G][,GA]
ㄎ	~[,KR][,K]
ㄏ	~*[,H][,LP]::[,HP]
ㄐ	~*[,JI]::[,JL][,JV][,J]
ㄑ	~*[,CI][,Q]::[,CHIV][,QB][,CHI]
ㄒ	~*[,X]::[,SHIV][,XB][,SHI]
ㄓ	~*[,ZH][,ZHI]::[,JC][,J]
ㄔ	~*[,CH][,CHI]::[,CHIR]
ㄕ	~*[,SH][,SHI]::[,SHIR][,SHV]
ㄖ	~[,RR][,R]
ㄗ	~*[,TZ][,Z]::[,TZV][,ZK][,P][,PI]
ㄘ	~*[,TS]::[,CF][,C]
ㄙ	~[,SB][,S]
ㄚ	~[,AR][,AV][,A]
ㄛ	~[,O]
ㄜ	~[,EK][,E]
ㄝ	~*[,EH]::[,EHV][,E]
ㄞ	~*[,AI]
ㄟ	~*[,EI]::[,EIR]
ㄠ	~*[,AO][,AU]::[,AUV]
ㄡ	~*[,OU]::[,OUV]
ㄢ	~*[,AN]
ㄣ	~*[,EN]
ㄤ	~*[,ANG]
ㄥ	~*[,ENG]
ㄦ	~*[,EL][,ER]::[,ELR][,RK][,R]
ㄧ	~*[,I][,Y][,YI]::[,IS][,E]
ㄨ	~*[,U][,WU]::[,WL][,XC][,W][,X]
ㄩ	~*[,IU][,YU]::[,UC][,U][,UI]
ㄪ	~[,VF]
ㄫ	~[,ERS]
ㄬ	~[,GNR]
㆒	~[,E]
㆓	~[,R]
㆔	~[,SK][,S]
㆕	~[,F]
㆖	~*[,FE]
㆗	~*[,CJ]::[,CIV][,CI]
㆘	~*[,FA]
㆙	~*[,QI]
㆚	~*[,ZL]::[,ZZV][,ZZ]
㆛	~*[,ENB]
㆜	~[,TIV][,TI]
㆝	~*[,ED][,EDN][,GNN]::[,GNV][,GN]
㆞	~*[,YA][,YAL]
㆟	~*[,BN]
㈠	~[,GEV][,GE]
㈡	~[,GR]
㈢	~[,GSV][,GS]
㈣	~[,GFV][,GF]
㈤	~[,GWV][,GW]
㈥	~[,GLV][,GL]
㈦	~[,GCV][,GC]
㈧	~[,GBV][,GB]
㈨	~[,GKV][,GK]
㈩	~*[,GO]::[,GJV][,GJ]
㈪	~*[,GUE]
㈫	~*[,GFN]
㈬	~*[,GWN]
㈭	~*[,GTN]
㈮	~*[,GAE]
㈯	~*[,GYE]
㈰	~*[,GDO]
㈱	~*[,GTS][,TSS]
㈲	~*[,GXU]
㈳	~*[,GRS][,GRY]
㈴	~*[,GCO]
㈵	~*[,GSA][,GSY]
㈶	~*[,GMB][,GMU]
㈷	~*[,GRR]::[,GRSV][,GRS]
㈸	~*[,GSD][,GSN]
㈹	~*[,GPX]::[,GPAV][,GPA]
㈺	~*[,GOH]
㈻	~*[,GSZ]::[,GSNV][,GSN]
㈼	~*[,GRF][,GRV]
㈽	~*[,GBZ]
㈾	~*[,GBB][,GBI]
㈿	~*[,GJD]
㉀	~*[,GJA]::[,GJRV][,GJR]
㉁	~*[,GPT]
㉂	~*[,GPM]
㉃	~*[,GPE]
㉿	~*[,OKE]::[,OEKV][,OKC][,OEK][,OK]
㊀	~[,OEV][,OE]
㊁	~[,OR]
㊂	~[,OSV][,OS]
㊃	~[,OF]
㊄	~[,OWV][,OW]
㊅	~[,OLV][,OL]
㊆	~[,OCV][,OC]
㊇	~[,OBV][,OB]
㊈	~[,OKV][,OK]
㊉	~[,OEOV][,OJV][,OEO][,OJ]
㊊	~*[,OUE]
㊋	~*[,OFN]
㊌	~*[,OWN]
㊍	~*[,OTN]
㊎	~*[,OAE]
㊏	~*[,OYE][,OYV]
㊐	~*[,ODO]
㊑	~*[,OTS]
㊒	~*[,OXU]
㊓	~*[,ORS][,ORY]
㊔	~*[,OCO]
㊕	~*[,OSY]::[,OSAV][,OSA]
㊖	~*[,OMB][,OMU]
㊗	~*[,ORR]::[,ORSV][,ORS]
㊘	~*[,OSD][,OSN]
㊙	~*[,OHH][,OHP]
㊚	~*[,OQD]
㊛	~*[,OGX]
㊜	~*[,OLN][,OLW][,OXW]
㊝	~*[,OPP][,OPT]
㊞	~*[,OEP]
㊟	~*[,OWA][,OWK]
㊠	~*[,OIB][,OIT]
㊡	~[,OPTV][,OPT]
㊢	~*[,ONE][,ONK]
㊣	~*[,OEZ]
㊤	~*[,OFE]
㊥	~[,OCIV][,OCJV][,OCI][,OCJ]
㊦	~*[,OFA]
㊧	~*[,OXI]
㊨	~*[,OXO]
㊩	~*[,OFD][,OFV]
㊪	~*[,ONR][,ONS]
㊫	~*[,OSZ]::[,OSNV][,OSN]
㊬	~*[,ORF][,ORV]
㊭	~*[,OBZ]
㊮	~*[,OBI]::[,OBBV][,OBB]
㊯	~*[,OJD]
㊰	~*[,OLP][,OLU][,OLX]
㋀	~*[,EUE]
㋁	~*[,RUE]
㋂	~*[,SUE]
㋃	~*[,FUE]
㋄	~*[,WUE]
㋅	~*[,LUE]
㋆	~*[,CUE]
㋇	~*[,BUE]
㋈	~*[,KUE]
㋉	~*[,EOU][,JUE]
㋊	~*[,EEU][,JEU]
㋋	~*[,ERU][,JRU]
㋐	~*[,OA.]
㋑	~*[,OI.]
㋒	~*[,OU.]
㋓	~*[,OE.]
㋔	~*[,OO.]
㋕	~*[,OKA]
㋖	~*[,OKI]
㋗	~*[,OKU]
㋘	~[,OKEV][,OKE]
㋙	~*[,OKO]
㋚	~[,OSA]
㋛	~*[,OSI]
㋜	~*[,OSU]
㋝	~*[,OSE]
㋞	~*[,OSO]
㋟	~*[,OTA]
㋠	~*[,OTI]
㋡	~*[,OTU]
㋢	~*[,OTE]
㋣	~*[,OTO]
㋤	~*[,ONA]
㋥	~*[,ONI]
㋦	~*[,ONU]
㋧	~[,ONEV][,ONE]
㋨	~*[,ONO]
㋩	~*[,OHA]
㋪	~*[,OHI]
㋫	~*[,OHU]
㋬	~*[,OHE]
㋭	~*[,OHO]
㋮	~*[,OMA]
㋯	~*[,OMI]
㋰	~[,OMUV][,OMU]
㋱	~*[,OME]
㋲	~*[,OMO]
㋳	~*[,OYA]
㋴	~*[,OYU]
㋵	~*[,OYO]
㋶	~*[,ORA]
㋷	~[,ORIV][,ORI]
㋸	~*[,ORU]
㋹	~*[,ORE]
㋺	~[,OROV][,ORO]
㋻	~[,OWAV][,OWA]
㋼	~*[,OWI]
㋽	~*[,OWE]
㋾	~*[,OWO]
㍱	~*[,HPA]
㍲	~*[,DA]
㍳	~[,AU]
㍴	~*[,BAR]
㍵	~[,OVR][,OV]
㍶	~[,PCV][,PC]
㍻	~[,PAR][,PA]
㍼	~*[,DH]
㍽	~[,DER][,DE]
㍾	~[,DWV][,DW]
㍿	~*[,TAA][,TAR]
㎀	~*[,PA][,PAA]
㎁	~[,NA]
㎂	~*[,MUA]::[,UAV][,UA]
㎃	~*[,MA]
㎄	~[,KA]
㎅	~*[,KB]
㎆	~*[,MB]
㎇	~[,GBS][,GB]
㎈	~*[,CAL]
㎉	~*[,KCA]
㎊	~*[,PF]
㎋	~*[,NF]
㎌	~*[,MUF][,UF]
㎍	~*[,MUG][,UG]
㎎	~*[,MG]
㎏	~*[,KG]
㎐	~*[,HZ]
㎑	~*[,KHZ]
㎒	~*[,MHZ]
㎓	~*[,GHZ]
㎔	~*[,THZ]
㎕	~*[,MUL][,UL]
㎖	~*[,ML]
㎗	~[,DLV][,DL]
㎘	~*[,KL]
㎙	~*[,FM]
㎚	~*[,NM]
㎛	~*[,MUM][,UM]::[,MUEV][,MUE]
㎜	~*[,MM]
㎝	~*[,CM]
㎞	~*[,KM]
㎟	~*[,MMM][,MMR]::[,MMMR]
㎠	~*[,CMM][,CMR]
㎡	~*[,MR]::[,MMV][,MM]
㎢	~*[,KMM][,KMR]
㎣	~*[,MMS]::[,MMMV][,MMM]
㎤	~*[,CMS]::[,CMMV][,CMM]
㎥	~*[,MS]::[,MMM]
㎦	~*[,KMS]::[,KMMV][,KMM]
㎧	~*[,MPS]
㎨	~[,MPSV][,MPS]
㎩	~[,PAV][,PA]
㎪	~*[,KPA]
㎫	~*[,MPA]
㎬	~*[,GPA]
㎭	~*[,RAD]::[,RADR]
㎮	~[,RADV][,RAD]
㎯	~[,RAD]
㎰	~*[,PS]
㎱	~*[,NS]
㎲	~*[,MUS]::[,USV][,US]
㎳	~[,MSV][,MS]
㎴	~*[,PV]
㎵	~*[,NV]
㎶	~*[,MUV][,UV]
㎷	~[,MVV][,MV]
㎸	~*[,KV]
㎹	~[,MVR][,MV]
㎺	~*[,PW]
㎻	~*[,NW]
㎼	~*[,MUW][,UW]
㎽	~*[,MW]
㎾	~*[,KW]
㎿	~[,MWV][,MW]
㏀	~*[,KO][,KOH][,KOM]
㏁	~*[,MO][,MOH][,MOM]
㏂	~*[,AM][,A.M]
㏃	~*[,BQ]
㏄	~*[,CC]
㏅	~*[,CD]
㏆	~*[,CKG][,CPK]
㏇	~*[,CO][,CO.]
㏈	~[,DBF][,DB]
㏉	~[,GYR][,GY]
㏊	~[,HAL][,HA]
㏋	~[,HPV][,HP]
㏌	~*[,IN]
㏍	~*[,KK][,K.K]
㏎	~[,KMV][,KM]
㏏	~*[,KT]
㏐	~*[,LM]
㏑	~*[,LN]
㏒	~*[,LOG]
㏓	~*[,LX]
㏔	~[,MBV][,MB]
㏕	~*[,MIL]::[,MILR]
㏖	~*[,MOL]
㏗	~*[,PH]
㏘	~*[,PM][,P.M]
㏙	~*[,PPM]
㏚	~[,PRV][,PR]
㏛	~[,SRR][,SR]
㏜	~*[,SV]
㏝	~*[,WB]
一	~*[E]
丁	~*[TI]
丂	~[KK]
七	~*[C]
丄	~[,LER][LE][,LE]
丅	~*[,TI]::[TI]
丆	~[LP][TP]
万	~*[VY]::[ENYV][ENY]
丈	~*[QX]
三	~*[S]
上	~*[FE]
下	~*[FA]
丌	~[ERIR][ERI]
不	~*[BA]
与	~[KEES][KEE]
丏	~*[TLY]
丐	~*[FKK]
丑	~*[EE]
且	~*[ME]
丕	~*[BEE]
世	~*[SL]::[JRE]
丘	~*[KEE]::[POEV][POE]
丙	~*[ENB]::[TNBV][EN][TNB]
丞	~*[WEEV]::[WEE]
丟	~*[KUA]
丠	~[FFER][FFE]
両	~[ENEV][ENUR][TNES][TNUR][ENE][ENU][TNE][TNU]
丢	~[KUAR][KUA]
丣	~[ERFF][OI]
两	~[ENBBR][EB][ENBB]
並	~*[BE]::[BEFE][BKJV][BKJ][BOE]
丨	~[,IF][II][,I]
丩	~[GI]
个	~[BIIR][SIV][BII][SI]
丫	~*[BII]::[YIV][YI]
丬	~[,GI]
中	~*[CI]::[CJV][CJ]
丮	~*[ZQX]::[ZEJV][ZQJV][ZEJ][ZQJ]
丯	~[FJ]
丰	~[FJV][FJ]
丱	~[FIV][FI]
串	~*[CCI][CCJ]
丳	~*[FFR]::[RFFR][RFRR]
丶	~[,'W][,VVR][AAV][AA][VV][,VV][,'][']
丷	~[BA][BP]
丸	~*[ZX]::[KAAR][ZAV][KAA][ZA]
丹	~*[NLE][NAE]::[NLJV][NLJ]
主	~*[AKE]
丼	~*[JAA]
丽	~[ENAA][LAS][LA]
丿	~[PP][,P]
乀	~[BN][YY][,EI]
乁	~[YN][YY][,EI]
乂	~[XXV][XX]
乃	~*[RP]
乄	~[XX]
久	~*[NV]::[NNN]
乆	~[GNNR][LBNF][UNNV][GNN][LBN][UNN]
乇	~[GLV][GL]
么	~[PUAV][WAR][PUA][WA]
义	~[AXXS][BXR][AXX][BX]
乊	~[EBA][EBP][PBA][PBP]
之	~*[AZ]::[AZN]
乍	~*[VFE]
乎	~[HJV][HJ]
乏	~*[PAZ][BZN][PZN]
乑	~[PWN][QN]
乒	~*[KEP][KTP][POP]
乓	~*[KEA]::[POAV][POA]
乔	~[GIS][PDRF][GI][GNR][PDR]
乖	~*[GFF]
乗	~*[GRS][GRT]::[GJJT][GYYS][GSV][GS]
乘	~*[GS]::[GFFS]
乙	~*[ZL][ZZ]
乚	~[LL]
乛	~[YY]
乜	~*[YLL]::[CL]
九	~*[K]
乞	~*[VZL][VZZ]
也	~*[AL]
乢	~*[ELL]
乣	~[WLLV][WLL]
乤	~[FZL][FZZ]
乥	~*[PBZ]::[EBZ]
乧	~*[DZL][DZZ]
乨	~*[UOL]
乩	~*[ZOL]
乪	~[ZQO]
乫	~*[DOZ]
乬	~*[FFZ]
乭	~[LOZ]
乮	~*[DPZ]
乯	~[HZL][HZZ]
乱	~[GOLR][GOL]
乲	~*[BIZ]
乳	~*[EZL]
乴	~[JKZ]
乵	~*[LLL]
乶	~*[IZL][IZZ]::[AJNZ]
乷	~*[WSZ]
乸	~[AOM]
乹	~*[JDJL]::[JLLV][JLL]
乺	~*[FKZ]
乻	~*[FBBZ]
乼	~*[WAKZ]
乽	~*[YPDZ]::[HZL][HZZ]
乾	~*[JVZ]::[JDJZ]
乿	~*[ESL]
亀	~*[NQIL][NQQL]::[NXLR][UIQLV][UQLV][NXL][UIQL][UQL]
亁	~*[JDGZ]
亂	~*[GOL]::[ETNL]
亃	~*[MCSL]::[MCLV][MCL]
亄	~*[YNDL][YNEL]
亅	~[,IW][IIR][II][,I]
了	~*[WI]
亇	~[NII][VII]
予	~*[UI]
争	~[EEJF][NEJV][EEJ][NEJ]
事	~*[JCE][VEJ]::[JCIE]
二	~*[R]
亍	~*[RII]
于	~*[UJ]
亏	~[RKKV][RKK]
亐	~[IKK][KEX][RKK][RKX]
云	~[TAV][TA]
互	~*[DEE]
亓	~[RRIV][RRI]
五	~*[W]
井	~*[JJ]
亖	~[RRE]
亗	~[ERER][ERE]
亘	~[EDES][EDE]
亙	~*[DAE]::[EDE]
些	~*[ZFR]
亜	~[OE]
亝	~[UUURR][UUUR]
亞	~*[OE]::[EFE]
亟	~*[KOUE][WOUE]
亠	~[,LE]
亡	~*[FL]::[BLL]
亢	~*[LRL][LRZ]
亣	~*[LRI]
交	~*[LXX]
亥	~*[LHA][LHN]
亦	~*[LFA]
亨	~*[LOW][LHW][LWI]
享	~*[LOZ][LHZ][LZJ]
京	~*[LOS][LSA]
亭	~*[LNT][LTV]::[LONT][LHNT]
亮	~*[LNR][LRV]::[LONR][LHNR]
亯	~[LDOR][LODR][LDO][LOD]
亰	~*[LDS]
亱	~[LPDEV][LPUR][LXV][LPDE][LPU][LX]
亲	~[LTNS][LTN]
亳	~*[LGV][LNG]::[LONG][LHNG]
亴	~*[LONK][LNQK][LNYK]
亶	~*[LOOE]::[LOOMR][LOOM]
亷	~*[LLQ][LQP]::[LLEF][LPEF][LPQV][LQNV][LPQ][LQN]
亸	~*[LZBJ]::[LOZJ]
亹	~*[LSNM]
人	~*[BN]
亻	~[,PI]
亼	~*[,AE]::[BEES][AE][BEE]
亾	~[BLLV][FLS][BLL][FL]
什	~*[PJJ]
仁	~*[PRE]
仂	~[PDXR][PDYR][PDX][PDY]
仃	~*[PTI]
仄	~*[LBN]
仅	~[PUXR][PUX]
仆	~*[PPA]
仇	~*[PKL][PKX][PKZ]
仈	~[PBNV][PBN]
仉	~[PRLV][PRZR][PRL][PRZ]
今	~*[AYY]
介	~*[VR]::[BRIV][BRI][BRV]
仌	~[BBNR][BBN]
仍	~*[PRP]
从	~[BBNS][BBN]
仏	~[PUAS][PUA]
仐	~[BJJ]
仒	~[BBA]
仔	~*[PZJ]
仕	~*[PYV]::[PYEV][PYE]
他	~*[PAL]
仗	~*[PQX]
付	~*[PAA]
仙	~*[PEI]
仚	~*[BEI]
仛	~[PGL]
仜	~*[PIE]
仝	~*[BIE][,BI][,BIE]
仞	~*[PDA]
仟	~*[PGJ][,DG]
仠	~[PGJS][PGJ]
仡	~*[PVZ]
仢	~[PNA]
代	~*[PAX]
令	~*[ATA][API]
以	~*[U]::[UBA][UBN]
仦	~[PSAS][PSA]
仧	~[FBNR][FBN]
仨	~*[PSE]
仩	~[PFEV][PFE]
仫	~[PPU]
仮	~[PLUV][PLU]
仯	~*[PSP]
仰	~*[PFP]
仱	~*[PAY]
仲	~*[PCI][PCJ]
仳	~*[PBL]
仴	~[PUEV][PUE]
仵	~[PWJV][PWJ]
件	~*[PSJ]
价	~[PBRV][PBR]
仸	~[PGNV][PPDR][PGN][PPD]
仹	~[PFJR][PFJ]
仺	~[BEE]
任	~*[PKE]
仼	~[PKEV][PKE]
份	~*[PBD]
仾	~[PDE]
仿	~*[PFY]
伀	~[PBUV][PBU]
企	~*[BZE]
伂	~*[PJN][PLN]
伃	~[PUIV][PUI]
伄	~*[PQI]
伅	~*[PEL]
伆	~*[PNM]
伇	~[PRU]
伈	~[PHAV][PHA]
伉	~*[PLR]
伊	~*[PEX]
伋	~*[PPU][PRN]
伌	~*[PLP]
伍	~*[PWE][,DW]
伎	~*[PJU]
伏	~*[PAD]
伐	~*[PAQ]
休	~*[PTN]
伒	~*[PKI]
伓	~[PBAV][PBA]
伔	~*[PNR]
伕	~*[PQN]
伖	~[PXUR][PXU]
众	~[BBBV][BBB]
优	~[PAKR][PAK]
伙	~*[PFN]
会	~[ADAR][ADAS][ADV][BTAR][AD][ADA][BTA]
伜	~*[PKJ]
伝	~[PTAV][PTA]
伢	~*[PXP][PYP]
伨	~[PNBV][PNRV][PNB][PNR]
伩	~*[PWX]
伬	~*[PCN]
伭	~*[PLW]
伮	~[PGU]
伯	~*[PPD]
估	~*[PJO]
伱	~*[PBS]
伲	~*[PCF]
伳	~*[PSL]
伴	~*[PBJ]
伵	~*[PFO]
伶	~*[PAT][PAP]
伷	~*[PIQ]
伸	~*[PII]::[PIQI]
伹	~*[PME]
伺	~*[PEO]::[PYEO]
伻	~[PPJV][PPJ]
似	~*[PUB]::[PUAR][PUA]
伽	~[PDOR][PDO]
伾	~[PBEV][PBE]
伿	~[POBR][POB]
佀	~[PBOS][PBO]
佁	~*[PUO]
佂	~[PEZV][PEZ]
佃	~*[PQO]
佄	~[PGOS][PGO]
佅	~*[PQB][PYS]
但	~*[PDE]
佇	~*[PNT]
佈	~*[PXN]
佉	~*[PYU]
佊	~[PPXV][PPX]
佋	~[PDOW][PDO]
佌	~*[PZF]
位	~*[PLE]
低	~*[PXE]
住	~*[PAK]
佐	~*[PXI]
佑	~*[PXO]
佒	~[PCNV][PCN]
体	~*[PTE]
佔	~*[PZO]
何	~*[PTO]
佖	~*[PHP]
佗	~*[PNF]
佘	~*[ABN][AES]::[ABAV][BRSV][ABA][BRS]
余	~*[BHN][ATN]::[BHAV][BHA]
佚	~*[PSN]
佛	~*[PVJ]
作	~*[PVF]
佝	~[PNOV][PNO]
佞	~*[PRG]
佟	~*[PPB]
你	~*[PNS]
佡	~[PBE]
佢	~*[PFF]
佣	~*[PNQ]
佤	~[PWAV][PWA]
佦	~[PLO]
佧	~[PFPS][PFP]
佨	~[PNL][PNOL]
佩	~*[PNV]::[PREN][PRTN]
佪	~[POOV][POO]
佫	~[PPOV][PPO]
佬	~*[PYPF]
佭	~[PPSR][PPS]
佮	~*[PAO]
佯	~*[PBH]
佰	~*[PTD][,DP]
佱	~*[BRZ]::[AEZ]
佲	~[PCOV][PCO]
佳	~*[VE]
佴	~*[PRJ]
併	~*[PBK]
佶	~*[PYO]
佷	~[PDKV][PDK]
佸	~[PGOV][PGO]
佹	~*[PNP]::[PNLP]
佺	~[PBKV][PBK]
佻	~*[PRA]::[PRBB]
佼	~*[PLX]
佽	~*[PBI]::[PRIV][PRI]
佾	~*[PBU]
使	~*[PC]::[PJC][PJCX][PVX]
侀	~[PKRV][PKR]
侁	~*[PSR]
侂	~*[PLG]
侃	~*[POS]
侄	~*[PPE]
侅	~*[PLH]
來	~*[LN]
侇	~*[PEN]::[PJQB]
侈	~*[PCC]
侉	~*[PXK]::[PDRK]
侊	~*[PSER]
例	~*[PDR]
侌	~*[AFD][AYT]
侍	~*[PYA]
侎	~[PMNV][PMN]
侏	~*[PSS][PSB]
侐	~*[PPF]
侑	~*[PXU]::[PXEV][PXE]
侒	~[PNGV][PNG]
侓	~*[PEJ]
侔	~*[PUS]
侕	~*[PTNR]::[PRIR][PRI]
侖	~*[AMJ][BFL]
侗	~*[PNEO]
侘	~*[PNG]
侙	~*[PAXI]
侚	~*[PND]
供	~*[PRB]
侜	~*[PZA]
依	~*[PK]::[PLK]
侞	~[PGOR][PGO]
侟	~*[PXIZ]
侠	~[PGN]
価	~[PCOR][PCO]
侢	~*[PTNY]::[PENYV][PENY]
侣	~[POOR][POVR][POO][POV]
侤	~*[PYPK]
侮	~*[PMV]::[PVOM]
侯	~*[FDV]::[PFVD]
侰	~[PEOV][PEO]
侱	~[POKV][POK]
侲	~*[PFK]
侳	~*[PBBY]
侴	~[AERV][AER]
侵	~*[PRX]::[PENU]
侶	~*[POV]::[POPO]
侷	~*[PCYO][PONO]
侸	~[PDEV][PDE]
侹	~*[PKW]
侺	~*[PEAY]
侻	~*[PBOR]
侼	~*[PJNZ]
侽	~*[PQD]
侾	~*[PYPZ]
便	~*[PTX]::[PTQX]
俀	~*[PEG]
俁	~*[POED][POGN][POKD]
係	~*[PS]::[PPS][PES]
促	~*[PZ]::[POZ]
俄	~*[PIX]
俅	~*[PNA]::[PAJW]
俆	~[PATV][PBHV][PAT][PBH]
俇	~[PQKR][PQK]
俈	~[PSOV][PSO]
俉	~[PWOV][PWO]
俊	~*[PHX]::[PURP][PUBP]
俋	~*[POCL]::[POCV][POC]
俌	~*[PIJ]::[PAJQ]
俍	~*[PADK]::[PANV][PAN]
俎	~*[BBM]
俏	~*[PSU]
俐	~*[PHR]
俑	~*[PTJ]::[PTNQ]
俒	~*[PNRR]
俓	~*[PSI][PUI][PUY]::[PESI]
俔	~*[PMR]
俕	~[PNTR][PNT]
俖	~[PBO]
俗	~*[PWO]::[PBBO]
俘	~*[PEZ]
俙	~*[PXXN]
俚	~*[PQE]
俛	~*[PDCR][PNCR]::[PELV][PEL]
俜	~*[PIQK]::[PQKV][PQK]
保	~*[POT]
俞	~*[AI]::[AUR]
俟	~*[PAN]::[PUVD]
俠	~*[PGN]
信	~*[PIO]
俢	~*[PPM]
俥	~[PCJV][PCJ]
俧	~*[PYH]
俫	~[PLN]
俬	~[PHUV][PHU]
修	~*[PP]::[PIPM]
俯	~*[PAV]::[PLPA]
俰	~*[PHO]
俱	~*[PMEB]
俲	~*[PLXD]
俳	~*[PRSS]
俴	~*[PAQQ]::[PKXV][PKX]
俵	~*[PHK]
俶	~*[PFSU]
俷	~*[PUC]::[PUCL]
俸	~*[PFNQ]
俹	~[POER][POE]
俺	~*[PXL]::[PDIL][PDQL]
俻	~[PPQV][PPQ]
俼	~*[PTU]
俽	~[PKIV][PKI]
俾	~*[PGV]::[PPGV][PPQGV][PPG][PPQG]
俿	~*[PZR]
倀	~*[PEK]
倁	~*[PVDO]
倂	~*[PBGG][PPGG]::[PBKR][PBK]
倃	~*[PPBO][PPPO]
倄	~*[PXX]::[PXXU]
倅	~[PJJV][PJJ]
倆	~*[PEB]::[PENB][PTNB]
倇	~*[PNCP]
倈	~[PLNR][PLN]
倉	~*[ADO][BPL]
倊	~*[PBUH]
個	~*[PO]::[POJO][BIIV][BII][VII]
倌	~*[PNB]
倍	~*[PLO]
倎	~*[PROB]::[PFBR][PFB]
倏	~*[PIPD]
倐	~[PIPFS][PIPF]
們	~*[QM]::[PMI][PMY]
倒	~*[PPR]
倓	~[PFFV][PFF]
倔	~*[PCEE][PCEU]
倕	~*[PGE]::[PGJY]
倖	~*[PYJ]::[PYBG]
倗	~[PUUV][PUU]
倘	~*[PSNO]
候	~*[PD]::[PIFD]
倚	~*[PVO]::[PDTO]
倛	~*[PKB]
倜	~*[PNYO]::[PNOR][PNO]
倝	~*[JDJB]::[JBNV][JBN]
倞	~*[PLS]::[PLOS]
借	~*[PRD]
倠	~[PVER][PVE]
倡	~*[PDD]
倢	~*[PJZ]::[PJEZ][PZEZ]
倣	~*[PPV]::[PFPV][PFP]
値	~[PJER][PJLV][PJMEV][PJMLV][PJE][PJL][PJME][PJML]
倥	~*[PNRI][PNBI]
倦	~*[PPL]::[PBNP][PBNL]
倧	~*[PNRS]::[PNSV][PNS]
倨	~*[PCJO]
倩	~*[PHU]
倪	~*[PGR]
倫	~*[PAM][PBF]
倬	~*[PQJ]::[PZDJ]
倭	~*[PHG]
倮	~*[PQT]
倯	~*[PTBU]
倰	~*[PYBP][PYRP]::[PYXV][PYX]
倱	~*[PDB]
倲	~*[PCS]::[PJQS]
倳	~*[PJCE]::[PVEV][PVE]
倴	~*[PDJR]
倵	~*[PEAZ]::[PWEV][PWE]
倶	~[PMEBV][PMEB]
倷	~*[PDRS]
倸	~*[PET]::[PMNS][PMN]
倹	~*[PACB]::[PACV][PAC]
倻	~[PRB]
值	~*[PJE][PJL]::[PJME][PJML]
倽	~*[PBGO]::[PBO]
倿	~[PLG]
偀	~[PRC]
偁	~*[PENY]
偂	~*[PBER]::[PBIR][PBI]
偃	~*[PFDG]
偄	~*[PTND]::[PRDV][PRD]
偅	~*[PGQ]
偆	~*[PFND]
假	~*[POX]::[POFU]
偈	~*[PDL]::[PDNL]
偉	~*[PWJ]::[PWOS]
偊	~*[PPCU]
偋	~*[PCBK]
偌	~*[PRO]::[PRXO]
偍	~*[PDEZ]::[PJNV][PJN]
偎	~*[PQK]
偏	~*[PFM]
偐	~*[PLLM][PLPM][PWLM]
偑	~[PRCR][PRC]
偒	~*[PEP]::[PDEM][PDVM]
偓	~*[PCP]
偔	~*[POK]::[POOK]
偕	~*[PBPD]
偖	~*[PYD]::[PYPD][PHOV][PHO]
偗	~*[PSM]
偘	~*[POOO]
偙	~*[PLNN]
做	~*[PJX]::[PJOP]
偛	~*[PGG]
停	~*[PT]::[PLOT][PLHT][PLNT]
偝	~*[PFFU]
偞	~[PSTV][PST]
偟	~*[PPDK]
偠	~*[PCG]
偡	~*[PKBL][PKLB][PKLR][PKRL]::[PKLV][PKL]
偢	~*[PHF]
偣	~*[PLD]
偤	~[PBEF][PBE]
健	~*[PEW]
偦	~*[PFBU][PYZU]
偧	~*[PDCC]
偨	~*[PZFT]
偩	~*[PNMB]
偪	~*[PEOQ]
偫	~*[PMIA]
偬	~[PNQHV][PNQH]
偭	~*[PTOH]
偮	~*[POR]
偯	~*[PLOK]::[PLKR][PLK]
偰	~*[PFDD][PHDD]
偱	~*[PKM]
偲	~[PQHV][PQH]
偳	~*[PDI][PER]::[PETR]
側	~*[PR]::[PMBR]
偵	~*[ZM]::[PZMB]
偶	~*[PU]::[PQNU]
偷	~*[PAI]::[PAUR]
偸	~[PAIR][PAURR][PAI][PAUR]
偹	~*[PIPQ]
偺	~*[PPBD][PPPD]
