$	~*[,DOL][,SIS][,SI]
杢	~*[TIE][TYEV][TYE]
杣	~*[TEI]
杤	~*[TVY][TENV][TEN]
来	~*[LN]
杦	~[TNNV][TNN]
杪	~*[TSP]
杭	~*[TLR]
杯	~*[TBA]
杰	~[TFAV][TFA]
東	~*[CSA]*[CSN]*[JQS]
杲	~*[DTN]
杳	~[TDOV][TDO]
杵	~*[TWJ]
杷	~*[TCL]
杼	~*[TUI]
松	~*[TBU]
板	~*[TLU]
枅	~[TKJV][TKJ]
枇	~[TBLV][TBL]
枉	~*[TKE]
枋	~*[TFY]
枌	~*[TBD]
析	~*[TKI]
枕	~*[TKL][TNRR][TNR]
林	~*[TTN]
枚	~*[TPX]
果	~*[QTN]
枝	~*[TJU]
枠	~*[TJJ]*[TKJ]
枡	~*[TXJ]
枢	~*[TFX][TFOO]
枦	~*[TFP]
枩	~*[DBU]
枯	~*[TJO]
枳	~*[TOB]
枴	~*[TOD]
架	~*[DOT]
枷	~[TDOR][TDO]
枸	~*[TNO]
枹	~*[TNL][TNFL][TNOL]
枻	~*[TSL]
柀	~[TPXV][TPX]
柁	~[TNFV][TNF]
柄	~*[TEN][TENB][TTNB]
柆	~*[TLE]
柊	~*[TPB]
柎	~[TPAV][TPA]
柏	~*[TPD]
某	~*[GTN]
柑	~*[TGV][TGOV][TGO]
柒	~*[,DC]
染	~*[WKT]
柔	~*[MTN]
柘	~*[TLO]
柚	~*[TIQ]
柝	~[TKAV][TKA]
柞	~[TVFV][TVF]
柢	~*[TXE]
柤	~[TMEV][TME]
柧	~*[TGA]*[TGN]
柩	~*[TFNN]
柬	~[CSNR][JQSV][CSN][JQS]
柮	~*[TEE]*[TEU]
柯	~*[TTO]
柱	~*[TAK]
柳	~*[TDP]
柴	~*[ZFT]
柵	~*[TMJ][TNNE][TNRV][TNR]
査	~*[TDE]*[TME]
柾	~*[TEZ]
柿	~*[TJN]*[TLN]
栁	~*[TCP]
栂	~*[TOM]
栃	~*[TFN]*[TLV][TLEN]
栄	~*[FT][FFNT][RNT][SNT]
栓	~*[TBK]
栖	~*[TCO]
栗	~*[CTN]
栞	~[GGTV][KTNV][GGT][KTN]
校	~*[TLX]
栢	~*[TTD]
栩	~[TEE]
株	~*[TSB]*[TSS]
栫	~*[TXIZ]
栲	~*[TRK][TYPK]
栴	~*[TVNL]
核	~*[TLH]
根	~*[TDK]
格	~*[TPO]
栽	~*[JT][JAQT]
桀	~[CSTV][CTNV][CST][CTN]
桁	~*[TMII]*[TMIT]
桂	~*[TYY]
桃	~*[TRA][TRBB]
桄	~*[TSER]
框	~*[TFK]
案	~*[NGT]
桍	~*[TXK][TDRK]
桎	~*[TPE]
桐	~*[TNEO]
桑	~*[UUUT]
桒	~*[JRT][JRSV][JRS]
桓	~*[TEDE]
桔	~*[TYO]
桙	~*[TUS]
桜	~*[TSG][TMBG]
桝	~*[TCJ][TCSV][TCS]
桟	~*[TAF]*[TKX][TAQQ]
档	~*[TSE]
桧	~*[TAD]*[TBT][TAEU][TAQD]
桴	~[TEZV][TEZ]
桶	~*[TTJ][TTNQ]
桷	~[TNEV][TNE]
桾	~*[TEO]
桿	~*[TDG]
梁	~*[WT][WDAT][WDBT]
梃	~*[TKW]
梅	~*[TVOJ]*[TVOM]*[TVOX]
梍	~*[TPDC]*[TPDF]
梏	~*[TSO]
梓	~*[TLJ]
梔	~*[TFC][TFCL]
梗	~*[TTX][TTQX]
梛	~*[TEB]
條	~*[PN][PIPT][PTNR][PTN]
梟	~[NTNV][NTN]
梠	~*[TOPO][TOVV][TOV]
梢	~*[TSU]
梦	~[TTCV][TTC]
梧	~*[TWO]
梨	~*[HDT]*[HRT]
梭	~*[THX][TUBP][TURP]
梯	~*[TTP][TBQP]
械	~*[TR][TAQR]
梱	~*[TOT]
梳	~*[TTS]
梵	~*[TTZ][TTRA]
梶	~*[TCM]
梹	~*[TKEB]*[TPOB]
梺	~[TTFV][TTF]
梼	~*[TFA]
棄	~*[TST]
棆	~*[TAM]
棈	~*[THU]
棉	~*[TPJ][TPDN]
棊	~*[KBT]
棋	~*[TKB]
棍	~*[TDB]
棏	~*[TDA][TDUA]
棒	~*[TQ][TFNQ]
棔	~*[TXD]
棕	~*[TNS][TNRS]
棗	~[JJNS][JNSSV][JJN][JNSS]
棘	~*[JNSS][JJNR][JJN]
棚	~*[TUU]
棟	~*[TCS][TJQS]
棠	~*[SNOT]
棡	~*[TNBE]
棣	~*[TEW]
棧	~[TAFV][TAQQV][TKXV][TAF][TAQQ][TKX]
森	~*[TTT]
棯	~*[TAYH]
棲	~*[TJG][TJEG]
棹	~*[TQJ][TZDJ]
棺	~*[TNB]
椀	~*[TNCP]
椁	~*[TLZ][TLOZ]
椄	~*[TLG]
椅	~*[TVO][TDTO]
椈	~*[TNM]
椋	~*[TLS][TLOS]
椌	~*[TNBI]*[TNRI]
植	~*[TJL][TJME][TJML][TJEV][TJE]
椎	~[TVEV][TVE]
椏	~*[TOE][TEFE]
椒	~*[TFSU]
椙	~*[TDD]
椚	~*[TMI]*[TMY]
椛	~*[TRPF]
検	~*[TB][TAC][TACB][TAOB][TOA]
椡	~*[TPR]
椢	~*[TOKA]
椣	~*[TFB][TROB]
椥	~*[TVDO]
椦	~*[TBND]
椨	~*[TLPA]
椪	~*[TBO][TBEE][TBEV][TBE]
椰	~*[TRB]
椴	~*[TERU]
椶	~*[TXUP]
椹	~*[TKBL]*[TKLB]*[TKLR]*[TKRL][TKLV][TKL]
椽	~*[TCEQ][TEQV][TEQ]
椿	~*[TFND]
楊	~*[TEP][TDEM]
楓	~*[TRC]*[TRX]
楔	~*[TFDD]*[THDD]
楕	~*[TXIU]
楙	~*[TMT]
楚	~*[TZ][TTFB][TTYZ]
楜	~*[TFU][TJOU]
楝	~[TCSR][TJQSV][TCS][TJQS]
楞	~*[TFF]
楠	~*[TNJ][TJNG]
楡	~*[TAI][TAUR]
楢	~*[TBE]
楨	~*[TZMB]
楪	~[TSTV][TST]
楫	~*[TOR]
業	~*[FR][FEBL][FEBT][FSN][FEE]
楮	~*[THO]*[TYD][TYPD]
楯	~*[TKM]*[TXM]
楳	~*[TGT]
楴	~*[TLNN]
極	~*[TK][TKOE][TPU][TRN][TWOE]
楷	~*[TBPD]
楸	~*[THF]
楹	~*[TRUF]*[TWPF]
楼	~*[TG][TMG]
楽	~*[RN][BPDT][FSA][PDBT][PDWT][WPDT]
楾	~*[TPDW]
榁	~*[TNP]
概	~*[TDL][TDUK][TPDK]
榊	~*[TRSI]
榎	~*[TTMP]
榑	~*[TIA][TAJA]
榔	~*[TAB][TADB]
榕	~*[TNW][TNBO]
榘	~*[VDFT]
榛	~*[TFNH]
榜	~*[TGY][TLNF]
榠	~*[TNDL]
榧	~*[TFRS]
榮	~[FFNTV][RNTR][SNTR][FFNT][RNT][SNT]
榱	~*[TLDK]
榲	~*[TDF][TOBF]
榴	~*[TOQ][TDDQ]
榻	~*[TDEE]
榾	~[TQUV][TQU]
榿	~*[TED]
槁	~*[TQO][TLHO][TLNO][TLOO]
槃	~*[ZRUT]
槇	~*[TFMB][TJBV][TJMBV][TJB][TJMB]
槊	~*[BEUT]
構	~*[TY][TJE][TJNY][TNUV][TNU]
槌	~*[TPBW]
槍	~*[TBP][TADO]
槎	~*[TBHI]*[TBKI]
槐	~[TPQUV][TVAV][TPQU][TVA]
槓	~*[TIMB]
様	~*[TU]*[TW][TBKU][TBKW]
槙	~*[TJB][TJMB]
槝	~[TNER][TNE]
槞	~*[TLQL]
槢	~*[TEED]
槧	~*[CKT]
槨	~*[TLHB]*[TLOB]*[TLZB]
槫	~*[TXA][TCUA][TJQA]
槭	~*[TAQS]
槲	~*[TND]
槹	~*[TPDJ]
槻	~*[TQL][TQAR][TQNR]
槽	~*[TRFD]*[TROD]
槿	~[TRCV][TRC]
樂	~[FSAV][PDWTV][WPDTV][FSA][PDWT][RN][WPDT]
樅	~*[TMIZ]
樊	~*[TXXD]
樋	~*[TTW][TTNW][TTNV][TTN]
樌	~*[TOMB]*[TOXB][TOAV][TOA]
樒	~*[TNHE]
樓	~[TMGV][TG][TMG]
樔	~*[TSQT]
樗	~*[TURK]
標	~*[TS][TCRS][TRS]
樛	~*[TEM][TEEM]
樞	~[TFOOV][TFXV][TFOO][TFX]
樟	~*[TLDJ]
模	~*[TDV][TRDD]
樢	~[TNFR][TNF]
樣	~*[TBH][TBKUV][TBKWV][TBKU][TBKW]
権	~*[TRE]*[TUX]*[TVE][TROV][TVXV]
横	~*[TKA][TREB]
樫	~*[TRUY]
樮	~*[TCF]
樰	~[TUEV][TUE]
樵	~*[TVF]
樶	~*[TDRU]
樸	~*[TVN][TFED][TFBV][TPAR][TFB][TPA]
樹	~*[TUA][TYDA][TYOA]
樺	~*[TAJ][TRJQ][TRRJ]
樽	~*[TBEA]
橄	~*[TIRP]*[TTRP]
橆	~*[VFTT]
橇	~*[TMMM]
橈	~*[TYR][TQER][TYYR]
橋	~*[TGO][TEDO][TGNO][TGNR][TPDO]
橘	~*[TMNO]
橙	~*[TJD]
機	~*[G][TWB][TWWB][TRLR][TRZV][TRL][TRZ]
橡	~*[TNN][TNCQ]
橢	~*[TBXU]
橦	~*[TLQ]
橫	~[TKAR][TREBV][TKA][TREB]
橲	~*[TYDO]*[TYOO]
橳	~*[TUBD]
橸	~*[TDDD]
橾	~*[TLT][TOOT]
橿	~*[TEQE]
檀	~*[TLOE]
檄	~*[TPDP]
檍	~*[TLDH]
檎	~*[TBL][TBLU][TBWU]
檐	~*[TNLI][TNBIV][TVOV][TNBI][TVO]
檗	~*[COLT][PTNS][PTN]
檜	~[TADV][TAQDV][TBTV][TAD][TAQD][TBT]
檠	~*[RNOT][NTNR][NTN]
檢	~*[TAE][TASE][TACV][TAOBV][TOAR][TAC][TAOB][TB][TOA]
檣	~*[TWOO]
檪	~*[TBPT][TPDTV][TRNR][TPDT][TRN]
檬	~*[TRNQ]
檮	~*[TYYA][TFAR][TFA]
檳	~*[TBV][TNCB][TNKB][TNPB][TNSB]
檸	~*[TNT][TNHT]
檻	~*[TRF][TRVF]
櫁	~*[TNHC]
櫂	~*[TEEV]
櫃	~*[TFQ][TFCB][TFFV][TFF]
櫑	~*[TQQQ]
櫓	~*[TUFD]
櫚	~*[TMOO]*[TMOV]
櫛	~*[TZG]*[TZP][TZAP][TZDP][TRPV][TRP]
櫞	~*[TSCQ]*[TSEQ]
櫟	~*[TPDT]*[TWPT][TRNV][TRN]
櫢	~*[TMGP]
櫤	~*[TZB][TZBR]
櫨	~*[TZQF]
櫪	~*[TLD][TLHZ]
櫺	~*[TUOO]
櫻	~[TMBGV][TSGV][TMBG][TSG]
欄	~*[TBS]*[TMN][TMCS][TMJS]
欅	~*[TEH]*[TEQ]
權	~[TREV][TROVV][TRE][TROV]
欒	~*[LFT][ISST][SIST]
欖	~*[TVL][TRFR][TRMR][TRVR]
欝	~*[TXXA]
欟	~*[JROR][TRMRV][TRMR]
欠	~*[IN]
次	~*[BIN]*[RIN]
欣	~*[KIN]
欧	~*[FI][FOOI][FXI]
欲	~*[WIN][BBOI]
欷	~*[XXNI]
欸	~*[UVDI][AINR][AIN]
欹	~*[DTOI][VINV][VIN]
欺	~*[KBI]
欽	~*[AIN]
款	~*[YI][FVDI][YRSI]
歃	~*[GGI]
歇	~*[DIN][DNBI][DNFI][DNLI]
歉	~*[QIN][BEEI]
歌	~*[TIV][TOTI]
歎	~*[RCI]
歐	~[FOOIV][FXIV][FOOI][FXI]
歓	~*[UIN]*[VIN][ROOI][VXVI][RINV][RIN]
歔	~*[ZFEI]
歙	~*[AOEI]
歛	~*[AOOI]*[ASEI][ACIV][AINV][OINV][ACI][AIN][OIN]
歟	~*[EIN]
歡	~[RINR][ROOIV][UINV][VINR][RIN][ROOI][UIN][VIN]
止	~*[ZE]
正	~*[EZ][EZE]
此	~*[ZFL]
武	~*[WE][EAXZ]
歩	~*[ZSP]
歪	~*[BEZ]
歯	~*[ZMU]*[ZUI]
歳	~*[ZS][ECA][ZAQS]
歴	~*[LDX]*[LDY][LHHZ][LTTZ]
歸	~*[PQ][PBZE][PBZN][REE][RZEN][YEE]
歹	~*[DA]
死	~*[DFL]
歿	~*[DNU][DRUV][DRU]
殀	~*[DGN]*[DPD]
殃	~[DCNV][DCN]
殄	~*[DBM]
殆	~*[DUO]
殉	~*[DND]
殊	~*[DSB]*[DSS]
残	~*[DQ][DAF][DAQQ][DKX]
殍	~[DEZV][DEZ]
殕	~*[DLO]
殖	~*[DJE]*[DJL][DJME][DJML]
殘	~[DAFV][DAQQV][DKXV][DAF][DAQQ][DKX]
殞	~[DOMBV][DOMB]
殤	~*[DVE][DVDM]
殪	~*[DYND]
殫	~*[DOJ][DBQJ][DOOJ][DSQJ]
殯	~*[DBV][DNCB][DNKB][DNPB][DNSB]
殱	~*[DJAE]
殲	~*[DBBE][DGJV][DGJ]
殳	~*[,RU][RUXR][RUX]
殴	~*[FOOU]*[FXRU]
段	~*[EU][ERU]
殷	~*[PDNU]*[PDYU]
殺	~*[XU][XATU][XTA][XTN][XTRU]
殻	~*[YNRU][YNEUV][YNEU]
殼	~[YNEUR][YNRUV][YNEU][YNRU]
殿	~*[CU][CRBU]
毀	~*[GU][GIRU][GYRU]
毅	~*[LQRU]
毆	~[FOOUV][FXRUV][FOOU][FXRU]
毋	~*[OXV][OXXV][OXX]
母	~*[OMA]
毎	~*[VM][VOM][VOX][VOJV][VOJ]
毒	~*[HOM]*[HOX]
毓	~[VOJSV][VOMSV][VOXSV][VOJS][VOMS][VOXS]
比	~*[BL]
毖	~[BHPS][BHP]
毘	~*[QBL]
毛	~*[ML]
毟	~[SMLV][SML]
毫	~*[LMV]*[LNM][LHNM][LONM]
毬	~*[MNA][MAJW]
毯	~*[MFF]
毳	~*[MMM]
氈	~*[LOOM][MZOV][MZO]
氏	~*[XX]
民	~*[OXX]
氓	~*[FOX]
气	~[KLF][KXXV][KZV][KL][KXX][KZ]
気	~*[KXX]
氛	~*[KBD]
氣	~*[KMN][KXXR][KXX]
氤	~*[KOD]
水	~*[WN]
氷	~*[AWN]
永	~*[UN]
氾	~*[WPL]
氿	~[WKLS][WKXR][WKZV][WKL][WKX][WKZ]
汀	~*[WTI]
汁	~*[WJJ]
求	~*[NA][AJW]
汎	~*[WRA]
汐	~*[WCA][WCAV]
汕	~*[WEI]
汗	~*[WGJ]
汚	~*[WRK]
汜	~*[WOL]
汝	~*[WGX]
汞	~*[IWV][IWNV][IWN]
江	~*[WIE]
池	~*[WAL]
汢	~[WYEV][WYE]
汨	~[WDOV][WDO]
汪	~*[WKE]
汯	~[WXUV][WXU]
汰	~*[WDA]
汲	~*[WPU]*[WRN]
汳	~*[WLU]
決	~*[BJN]*[WJN]
汽	~*[KZ]*[WZ][WKZ][WKLV][WKL]
汾	~*[WBD]
沁	~*[WHA]
沂	~*[WKI]
沃	~*[WGN][WPDV][WPD]
沆	~*[WLR]
沈	~*[WKL]*[WNR]
沌	~*[WEL]
沍	~*[WDE]
沐	~*[WTN]
沒	~[WNUR][WRUV][WNU][WRU]
沓	~[WDOR][WDO]
沖	~*[BCI]*[WCI]*[WCJ][BCJV][BCJ]
沙	~*[WSP]
沚	~*[WZE]
沛	~*[WLN][WJNV][WJN]
没	~*[WNU]*[WRU]
沢	~*[WCN]*[WFY]*[WUQ][WFYG]
沫	~*[WQB]*[WYS]
沮	~*[WME]
沱	~[WNFV][WNF]
河	~*[WTO]
沸	~[WVJV][WVV][WV][WVJ]
油	~*[WIQ]
沺	~[WQOR][WQO]
治	~*[WUO]
沼	~*[WDO]
沽	~*[WJO]
沾	~*[WZO]
沿	~*[WBO]*[WRO]
況	~*[WOR]
泄	~*[WSL]
泅	~*[WOB]
泉	~*[PV][PDW]
泊	~*[WPD]
泌	~*[WHP]
泓	~[WQUV][WQU]
法	~*[WU][WYU]
泗	~*[WFO]
泙	~*[WPJ]
泚	~[WZFV][WZF]
泛	~*[WBZ]*[WPZ][WPAZ]
泝	~*[WKA]
泡	~*[WNL][WNFL][WNOL]
波	~*[WPX]
泣	~*[WLE]
泥	~*[WCF]
注	~*[WAK]
泪	~[WMOV][WMO]
泯	~*[WOX]
泰	~*[FNW]
泱	~[WCNV][WCN]
泳	~*[WUN]
洄	~[WOOS][WOO]
洋	~*[WBH]
洌	~*[WDR]
洒	~*[WCO]
洗	~*[WSR]
洙	~*[WSB]*[WSS]
洛	~*[WPO]
洞	~*[WNEO]
洟	~*[WEN][WJQB]
津	~*[WEJ]
洩	~*[WIX]*[WQX][WIQX]
洪	~*[WRB]
洫	~[WPFV][WPF]
洲	~*[WY][WYYY]
洳	~[WGOV][WGO]
洵	~*[WND]
洶	~*[WXU][WNXU]
洸	~*[WSER]
活	~*[WGO]
洽	~*[WAO]
派	~*[WLK]
流	~*[WL][WTS]
浄	~*[WEE]*[WNE]
浅	~*[WAF]*[WKX]*[WQV][WAQQ]
浙	~*[WJK]
浚	~*[WHX][WUBP][WURP]
浜	~*[WKEB]*[WPOB]
浣	~*[WNRR]
浤	~[WNXUV][WNXU]
浦	~*[WIJ][WAJQ]
浩	~*[WSO]
浪	~*[WAN][WADK]
浬	~*[WQE]
浮	~*[WEZ]
浯	~[WWOV][WWO]
浴	~*[WWO][WBBO]
海	~*[WM][WVOJ][WVOM][WVOX]
浸	~*[WRX][WENU]
浹	~[WGNV][WGN]
涅	~*[WGY][WDYV][WDY]
涇	~*[WSI]*[WUY][WESI][WUIS][WUI]
消	~*[WSU]
涌	~*[WTJ][WTNQ]
涎	~*[WPZW]
涓	~*[WOU]
涕	~*[WTP][WBQP]
涖	~[WPLV][WPL]
涙	~*[WFD]*[WMO][WFAD]
涛	~[WFAV][WFA]
涜	~*[WYM][WYFB][WYNR]
涬	~*[WYJ][WYBG]
涯	~*[WLYY]
液	~*[WLX][WLPU]
涵	~*[WWU][WKBU][WWBU]
涸	~*[WOJO]
涼	~*[BLS][BLOS][WLOS][WLSV][WLS]
淀	~*[WNEZ]
淅	~*[WTK]
淆	~*[WXXU]
淇	~*[WKB]
淋	~*[WTT]
淌	~*[WSNO]
淏	~*[WDED]*[WDGN]
淑	~*[SU][WFSU]
淒	~[WJEGV][WJGV][WJEG][WJG]
淕	~*[WYBY]*[WYRY][WYER][WYE]
淘	~*[WNI][WNWU]
淙	~*[WNS][WNRS]
淞	~*[WTBU]
淡	~*[WFF]
淤	~*[WFBB]
淦	~*[WAE]
淨	~[WEER][WNEV][WEE][WNE]
淪	~*[WAM]*[WBF]
淫	~*[WEK]
淬	~*[WKJ][WJJV][WJJ]
淮	~*[WVE]
深	~*[WNN][WNBT][WNRT]
淲	~*[WZR]
淳	~*[WLZ][WLHZ][WLOZ]
淵	~*[WHI]*[WMR]*[WRM][WHPV][WHP]
混	~*[WDB]
淸	~*[WHNL][WHUV][WHU]
淹	~*[WXL][WDIL][WDQL]
淺	~[WAFV][WAQQV][WKXV][WQVR][WAF][WAQQ][WKX][WQV]
添	~*[WEDF]*[WEDH]*[WGNF]*[WGNH]*[WPDF]*[WPDH]
淼	~*[WWW]
清	~*[WHU]
渇	~*[WDL][WDNF][WDNL]
済	~*[WWH]*[WWR]
渉	~*[WZS]
渊	~[WHIV][WMRV][WHI][WMR]
渋	~*[WZF][WZBB]
渓	~*[CE][WEQN][WEWD][WDVV][WDV]
渕	~*[WGR][WBER][WBGR]
渙	~*[WNFB]*[WNND]*[WNOB]
渚	~*[WHO]*[WYD][WYPD]
減	~*[BKO]*[WKO][BAQO][WAQO]
渝	~*[WAI][WAUR]
渟	~*[WLHT]*[WLNT]*[WLOT]
渠	~*[WFFT]
渡	~*[DU][WLRU]
渣	~*[WTDE]
渤	~*[WJND]
渥	~*[WCP]
渦	~*[WQO][WONB]
渧	~*[WLNN]
温	~*[WDF][WOBF]
渫	~*[WST]
測	~*[WR][WMBR]
渭	~[WQUR][WQU]
渮	~*[WRTO]
港	~*[WHL][WRBL]
游	~*[WFJ][WFVZ]
渹	~[WNIR][WNI]
渺	~*[WMS]
渼	~*[WBKD]
渾	~*[WNC]
湃	~[WHFV][WHF]
湊	~*[BFN]*[WFN][BFND][WFND]
湍	~*[WDI]*[WER][WETR]
湎	~*[WTOH]
湖	~*[WFU][WJOU]
湘	~*[WTM]
湛	~*[WKV][WKBL][WKLB][WKLR][WKRL][WKL]
湜	~*[WDEZ][WJNR][WJN]
湟	~*[WPDK]
湧	~*[WTD][WTND][WTQD]
湫	~*[WHF]
湮	~*[WCY]
湯	~*[WEP][WDEM]
湲	~*[WEGU][WEXV][WEX]
湶	~*[WPDW]
湾	~*[WQ][WISQ][WLFQ][WSIQ][WSK]
湿	~*[WDFE]*[WDWF]
満	~*[M][WRNB][WRNE][WRNU]
溂	~*[WJCR]*[WVSR]
溌	~*[WFL]*[WFX][WJQU][WJKV][WJK]
溏	~*[WLEO]
源	~*[WYA][WLPS]
準	~*[WVJ][BVEV][BVE]
溘	~*[WCE][WYUF]
溜	~*[WOQ][WDDQ]
溝	~*[WJE][WJNY][WNUV][WNU]
溟	~*[WNDL]
溢	~*[WYE][WBEF]
溥	~*[WIA][WAJA]
溪	~[WEWDV][WEWD]
溯	~*[WBEU]
溲	~*[WGU][WGIU][WIGU]
溶	~*[WNW][WNBO]
溷	~*[WOEQ]
溺	~*[WQBB]*[WQMM]
溽	~*[WFKA]
溿	~[WQBV][WQB]
滂	~*[WLNF][WGYV][WGY]
滄	~*[WBP][WADOV][WADO]
滅	~*[EFN][WAQF]
滉	~*[WDSR]
滋	~*[WW][WBEW][WLWW][WRWW]
滌	~*[WPN]*[WPT][WPIT]
滑	~*[WQU]
滓	~[WNLV][WNL]
滔	~*[WEG]
滕	~*[UBNW]
滝	~*[WLQL]
滞	~[WFNNV][WSNNV][WFNN][WSNN]
滬	~*[WFP][WFOC][WFOL]
滯	~*[WFNN]*[WSNN]
滲	~*[WUM][WUDM][WUUM]
滴	~*[WXO][WLNO]
滷	~*[WZOA]*[WZOF]*[WZOX]
滸	~*[WIW]
滾	~*[WLBK]*[WLOK]*[WLRK]*[WLUK]
滿	~[WRNBV][M][WRNB]
漁	~*[WUF]
漂	~*[WS][WCRS]
漆	~*[WTBW]
漉	~*[WLB]
漏	~*[WCU]
漑	~*[WG][WDUK][WDLV][WPDKV][WDL][WPDK]
漓	~*[WLA][WLXU][WWUU]
演	~*[WNA][WNEB][WNTB]
漕	~*[WRFD]*[WROD]
漠	~*[WDV][WRDD]
漢	~*[WRC]*[WUX]
漣	~*[WCW]
漫	~*[WMX][WDFU]
漬	~*[WHMB]
漱	~*[WJCI]*[WVSI]
漲	~*[WK][WQEK][WQK]
漸	~*[WCK]
漾	~*[WBKU]*[WBKW]
漿	~*[GCW][GEAW][GUAW]
潁	~*[FWT][FWTB]
潅	~*[WROV]*[WVXV][WVEV][WVE]
潔	~*[WYO][WFDS][WHDS]
潘	~*[WMQ]
潛	~[WKKDV][WKKD]
潜	~*[WKKD]*[WQND]
潟	~[WGNFV][WGNF]
潤	~*[WMK]
潦	~*[WDBS][WLAV][WLA]
潭	~*[WXJ][WCDJ]
潮	~*[WJU][WJDU]
潯	~*[WEA][WEIA]
潰	~*[WQA][WCEB]
潴	~*[WQH][WQYD]
潸	~*[WTTU]
潺	~*[WCZZ]
潼	~*[WLQ]
澀	~*[WDAZ]
澁	~*[WZZZ]
澂	~*[WEEP]*[WEKP]
澄	~*[WJD]
澆	~*[WYR][WQER][WYYR]
澈	~*[WTX][WTUP]
澎	~*[WMV][WYDM][WYOM]
澑	~*[WXQ][WEDQ][WEFQ][WDDQV][WOQV][WDDQ][WOQ]
澗	~*[WMD]
澡	~*[WLT][WOOT]
澣	~*[WJBG]*[WJDG]
澤	~[WCNR][WFYGV][WFYV][WUQV][WCN][WFY][WFYG][WUQ]
澪	~*[WUAP]*[WUAT]
澱	~*[WCRU]
澳	~*[AU][WPND][WPOBV][WPOB]
澵	~*[WLI][WLTK]
澹	~*[WVO][WNBI][WNLI]
激	~*[WP][WPDP]
濁	~*[WC][WFNC][WCA]
濂	~*[WLBF][WLQV][WLQ]
濃	~*[WNK][WFFK][WROK][WTTK]
濆	~*[WJA][WJRB]
濔	~[WRXV][WRX]
濕	~[WDFEV][WDWFV][WDFE][WDWF]
濘	~*[WNT][WNHT]
濛	~*[WRNQ]
濟	~[WWHV][WWRV][WWH][WWR]
濠	~*[WLHQ]*[WLNQ]*[WLOQ][WQVV][WQV]
濡	~*[WUR][WUTR]
濤	~*[WYYA][WFAR][WFA]
濫	~*[WRF][WRVF]
濬	~*[WZNM]
濮	~*[WPV][WPFB][WPFD]
濯	~*[WEEV]
濱	~*[WBV][WNCB][WNKB][WNPB][WNSB]
濳	~*[WSRD]
濵	~[WNCBV][WNSBV][WNCB][WNSB]
濶	~*[WMGO]
濺	~*[WMBF]*[WMBK]*[WMBQ]
濾	~*[WH][WZH][WZQH]
瀁	~*[WBHK]*[WBKX]
瀅	~*[WFFA]*[WRNA]
瀇	~*[WLRB][WLKV][WLK]
瀉	~*[WNGF]*[WNKE]
瀋	~*[WNII]*[WNMQ][WNIV][WNI]
瀏	~*[WDDR][WWRR][WWR]
瀑	~*[WDRW]
瀕	~*[WZSB]*[WZST]
瀘	~*[WZQF]
瀚	~*[WJBE]*[WJDE]
瀛	~*[WFUA]*[WFUZ]
瀝	~*[WLD][WLHZV][WLHZ]
瀞	~*[WHUE]
瀟	~*[WREH]
瀦	~*[WEQD]*[WEQH][WQYDV][WQYD]
瀧	~*[WAKP]*[WLUL][WALV][WAL]
瀨	~*[WVB][WJCBV][WVSBV][WJCB][WVSB]
瀬	~*[WJCB]*[WJCT]*[WVSB]*[WVST]
瀰	~*[WQR]
瀲	~*[WOP][WACP][WAOP][WASP]
瀾	~*[WBS]*[WMN][WMCS][WMJS]
灌	~*[WRE][WROVV][WROV]
灑	~*[WLLB][WCOV][WLAR][WCO][WLA]
灘	~*[WUV][WRCV]
灣	~[WISQV][WLFQV][WSIQV][WSKV][WISQ][WLFQ][WQ][WSIQ][WSK]
火	~*[FN]
灯	~[FTIV][FTI]
灰	~*[LFN]*[XFN]
灸	~*[NNF]
灼	~*[FNA]
災	~*[SFN]
炅	~*[DFN]
炉	~*[FFP][FZQF]
炊	~*[FIN]
炎	~*[FFN]
炒	~*[FSP]
炙	~[UFNV][UFN]
炫	~*[FLW]
炬	~*[FFF]
炭	~*[ELF]*[EXF]
炮	~*[FNL][FNFL][FNOL]
炯	~*[FNO]
炳	~*[FEN][FENB][FTNB]
炸	~*[FVF]
点	~*[AO][QFZO][ZOD][ZOF]
為	~*[BF][BWF][EWF][UWF]
炻	~[FLOV][FLO]
烈	~*[DRF]
烋	~*[PTF]
烏	~*[WFA]
烙	~[FPOV][FPO]
烝	~*[WEF]
烟	~[FODV][FOD]
烱	~*[FNRO][FNBOV][FNBO]
烹	~*[LWF][LHWF][LOWF]
烽	~*[FPF]
焄	~*[EOF]
焉	~*[EZKF]
焏	~*[KOUF]*[WOUF]
焔	~*[FNID][FNGV][FNG]
焙	~*[FLO]
焚	~*[TTF]
焜	~*[FDB]
無	~*[VF][EKL][GLL][VFF]
焦	~*[VFA]
然	~*[JFA][EADF][NBAF][NRAF][UADF]
焼	~*[FYR][FJRR][FQER][FYYR]
煆	~*[FOFU][FOXR][FOX]
煇	~[FNCR][FNC]
煉	~*[FCS][FJQS]
煌	~*[FPDK]
煎	~*[BFA][BEUF]
煕	~*[ROLF]
煖	~*[FEX][FEGU]
煙	~*[FCY]*[FOD]
煜	~*[FDL]
煢	~*[FFNJ]*[FFNX]*[FFNZ][FFNAV][FFNA]
煤	~*[FGT]
煥	~*[FNC][FNND][FNOB]
煦	~*[DNOF]
照	~*[DF][DDOF]
煩	~*[FTA][FTMB]
